iter,step,seg,loss,gn_cum,indep_gn
1,17,cq,2.2771,76.8777,17.4350
1,17,ans_final,1.6025,77.3157,4.5511
1,18,ans_first,1.7214,6.3313,6.3313
1,18,cq,2.8704,25.2721,24.5976
1,18,ans_final,1.6142,25.7850,7.4053
1,18,ans_first,1.4564,26.7566,7.6521
1,18,cq,0.5930,30.7322,13.4809
1,18,ans_final,1.4691,31.0376,5.3140
1,18,ans_first,1.8687,31.3333,5.6053
1,18,cq,1.7589,37.9196,19.5084
1,18,ans_final,1.6589,38.6360,5.2512
1,18,ans_first,1.3829,39.0885,5.6905
1,18,cq,1.7435,45.3938,16.5680
1,18,ans_final,1.6329,45.9329,4.6131
1,18,ans_first,2.3611,45.8795,5.2634
1,18,cq,2.6208,49.9515,14.5253
1,18,ans_final,1.4629,50.5599,5.5498
1,18,ans_first,2.0454,51.1418,7.1690
1,18,cq,2.4412,56.1438,18.7681
1,18,ans_final,1.6108,56.8023,5.6642
1,18,ans_first,1.6813,57.2464,8.4882
1,18,cq,2.8437,72.2695,31.7426
1,18,ans_final,1.8388,73.1702,7.2922
1,18,ans_first,1.4750,73.4682,5.3912
1,18,cq,1.1777,77.7677,15.4474
1,18,ans_final,1.7098,78.2529,5.3881
1,19,ans_first,1.4027,6.6282,6.6282
1,19,cq,0.4689,16.2974,15.0928
1,19,ans_final,1.5975,17.1618,5.3541
1,19,ans_first,1.6947,18.0287,4.8652
1,19,cq,0.9177,22.6309,12.5524
1,19,ans_final,1.5366,23.3073,5.2597
1,19,ans_first,1.5358,23.9607,6.0758
1,19,cq,1.4896,37.8806,27.0783
1,19,ans_final,1.6537,38.4376,5.5810
1,19,ans_first,1.8460,39.0889,7.0455
1,19,cq,1.4132,43.3238,11.6726
1,19,ans_final,1.7824,43.7302,5.8942
1,19,ans_first,1.7347,44.3533,6.9261
1,19,cq,1.6020,51.9522,21.9850
1,19,ans_final,1.5613,52.2892,5.2141
1,19,ans_first,2.1040,52.8768,8.0247
1,19,cq,2.2583,55.2550,18.5249
1,19,ans_final,1.8062,55.7931,7.1159
1,19,ans_first,2.3568,56.2107,7.6387
1,19,cq,1.3266,58.4093,14.2203
1,19,ans_final,1.4454,58.7300,4.2639
